name,input_shape,Cin,Cout,kernel,stride,torch_ms,triton_ms,speedup
conv1,4x3x224x224,3,64,7,2,0.1175861000471438,7.258139866644342,0.016200583373644384
layer1.0.conv1,4x64x56x56,64,64,3,1,0.05583129999043498,0.25890863331975805,0.215640935856635
layer1.0.conv2,4x64x56x56,64,64,3,1,0.05503496668097796,0.1792904832958205,0.306959776499531
layer1.1.conv1,4x64x56x56,64,64,3,1,0.05662028337004207,0.17499168334325077,0.3235598531787359
layer1.1.conv2,4x64x56x56,64,64,3,1,0.054920066637957156,0.17485793329493995,0.3140839286103265
layer2.0.conv1,4x64x56x56,64,128,3,2,0.037398866697913036,0.2193545333284419,0.17049507083546483
layer2.0.conv2,4x128x28x28,128,128,3,1,0.0578602999667055,0.1745663833692864,0.3314515592862169
layer2.0.downsample.0,4x64x56x56,64,128,1,2,0.024312349948255967,0.21637640002154512,0.11236137557439317
layer2.1.conv1,4x128x28x28,128,128,3,1,0.057794666645349935,0.1743591667036526,0.3314690459812757
layer2.1.conv2,4x128x28x28,128,128,3,1,0.058614200012622554,0.1721727166417016,0.3404383758118952
layer3.0.conv1,4x128x28x28,128,256,3,2,0.037546150027386226,0.174384883333308,0.2153062198380059
layer3.0.conv2,4x256x14x14,256,256,3,1,0.06253978335735155,0.20780258334222404,0.3009576798877259
layer3.0.downsample.0,4x128x28x28,128,256,1,2,0.01954453333989174,0.17628030000196304,0.11087190877071398
layer3.1.conv1,4x256x14x14,256,256,3,1,0.061969866631746605,0.17649353333884696,0.35111692456613525
layer3.1.conv2,4x256x14x14,256,256,3,1,0.06222918333757358,0.1739473999502176,0.35774713134765507
layer4.0.conv1,4x256x14x14,256,512,3,2,0.15669520004545726,0.24836608329981877,0.6309041796834246
layer4.0.conv2,4x512x7x7,512,512,3,1,0.09168224999787829,0.1796648333159586,0.5102960234663502
layer4.0.downsample.0,4x256x14x14,256,512,1,2,0.029697016664916493,0.21414070003326438,0.1386799270774
layer4.1.conv1,4x512x7x7,512,512,3,1,0.0915102499978578,0.17600210000333996,0.5199383984402528
layer4.1.conv2,4x512x7x7,512,512,3,1,0.09140223331390492,0.17489768336721076,0.5226040251316485
